"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"138x500"	"100x8"	"CMOVxTxT"	155420
"138x500"	"100x8"	"CMOVxTxT"	156284
"138x500"	"100x8"	"CMOVxTxT"	152364
"138x500"	"100x8"	"CMOVxTxT"	151504
"3883400xT"	"50xF"	"FxFxT"	14925363884
"3883400xT"	"50xF"	"FxFxT"	15194466288
"3883400xT"	"50xF"	"FxFxT"	15066478652
"3883400xT"	"50xF"	"FxFxT"	15049885220
"3883400xT"	"50xF"	"FxFxT"	15357371928
"2580xF"	"Fx8"	"CMOVxTxF"	714560
"2580xF"	"Fx8"	"CMOVxTxF"	713924
"2580xF"	"Fx8"	"CMOVxTxF"	712140
"2580xF"	"Fx8"	"CMOVxTxF"	711544
"2580xF"	"Fx8"	"CMOVxTxF"	727132
"138xT"	"1x8"	"TxTxT"	44564
"138xT"	"1x8"	"TxTxT"	60828
"138xT"	"1x8"	"TxTxT"	78596
"138xT"	"1x8"	"TxTxT"	37868
"138xT"	"1x8"	"TxTxT"	70464
"3883400x10"	"5x32"	"FxFxF"	3980466056
"3883400x10"	"5x32"	"FxFxF"	4065229052
"3883400x10"	"5x32"	"FxFxF"	4349440316
"3883400x10"	"5x32"	"FxFxF"	4490854924
"3883400x10"	"5x32"	"FxFxF"	3974356964
"3883400xF"	"10x16"	"TxTxF"	4206504176
"3883400xF"	"10x16"	"TxTxF"	3804667268
"3883400xF"	"10x16"	"TxTxF"	4098989748
"3883400xF"	"10x16"	"TxTxF"	4238892600
"3883400xF"	"10x16"	"TxTxF"	3947430280
"898885x10"	"10xF"	"CMOVxFxF"	1828737080
